Station ID,Station Name,Stop Type,Managed By,Request Stop,No. Of Platforms,Platforms Used,Stopped At,Passed Through (Stopped),Passed Through (Not Stopped)
KKH,Kirkhill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KKN,Kirknewton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KWD,Kirkwood,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
KYL,Kyle of Lochalsh,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LDY,Ladybank,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LRG,Lairg,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LNK,Lanark,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LGB,Langbank,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LGS,Langside,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LBT,Larbert,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LAR,Largs,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LRH,Larkhall,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LAU,Laurencekirk,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LNZ,Lenzie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LEU,Leuchars,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LIN,Linlithgow,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LSN,Livingston North,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LVG,Livingston South,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LHA,Loch Awe,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LHE,Loch Eil Outward Bound,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LCL,Lochailort,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
LCS,Locheilside,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
LCG,Lochgelly,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LCC,Lochluichart,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
LHW,Lochwinnoch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LOC,Lockerbie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
LND,Longniddry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MLG,Mallaig,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MNC,Markinch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MYH,Maryhill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MAX,Maxwell Park,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MAY,Maybole,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MEY,Merryton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MIN,Milliken Park,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MLN,Milngavie,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MON,Monifieth,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MTS,Montrose,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MRR,Morar,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MPK,Mosspark,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MTH,Motherwell,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MFL,Mount Florida,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MTV,Mount Vernon,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MOO,Muir of Ord,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MUI,Muirend,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
MUB,Musselburgh,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NRN,Nairn,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NEI,Neilston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NCK,New Cumnock,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NEW,Newcraighall,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NTN,Newton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NOA,Newton-on-Ayr,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NEG,Newtongrange,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NWR,Newtonmore,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NIT,Nitshill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NBW,North Berwick,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
NQU,North Queensferry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
OBN,Oban,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PCN,Paisley Canal,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PYG,Paisley Gilmour Street,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PYJ,Paisley St James,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PTK,Partick,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PTT,Patterton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PTH,Perth,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PIT,Pitlochry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PLK,Plockton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PWE,Pollokshaws East,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PWW,Pollokshaws West,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PLE,Pollokshields East,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PLW,Pollokshields West,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PMT,Polmont,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PTG,Port Glasgow,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PLN,Portlethen,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PPK,Possilpark & Parkhouse,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PST,Prestonpans,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PRA,Prestwick International Airport,Train,Prestwick International Airport,NO,0,NULL,NULL,NULL,NULL
PTW,Prestwick Town,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
PTL,Priesthill & Darnley,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
QPK,Queens Park,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
RAN,Rannoch,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
RTN,Renton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
RSN,Reston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
RRN,Robroyston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
ROG,Rogart,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
ROS,Rosyth,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
RYB,Roy Bridge,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
RUT,Rutherglen,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SLT,Saltcoats,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SQH,Sanquhar,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SCT,Scotscalder,Train,Scotrail,YES,0,NULL,NULL,NULL,NULL
SCH,Scotstounhill,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SFI,Shawfair,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SHL,Shawlands,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SLS,Shettleston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SDM,Shieldmuir,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SHS,Shotts,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SIN,Singer,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SLA,Slateford,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SGL,South Gyle,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SBR,Spean Bridge,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SPR,Springburn,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SPF,Springfield,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SPS,Stepps,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STV,Stevenston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STT,Stewarton,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STG,Stirling,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STN,Stonehaven,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SOI,Stow,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STR,Stranraer,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STC,Strathcarron,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
STF,Stromeferry,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
SUM,Summerston,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
TAI,Tain,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
TAY,Taynuilt,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
THB,Thornliebank,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
THT,Thorntonhall,Train,Scotrail,NO,0,NULL,NULL,NULL,NULL
